"","mean_ND_UP","mean_c_UP","mean_e_UP","mean_ND_DN","mean_c_DN","mean_e_DN"
"UP049GDN082R_CtrA0",22.42,20.3587785835124,0.0944339992047367,31.04,20.6074994432627,0.0376990143336093
"UP049GDN082R_CtrA5",10.95,12.8931152800694,0.0717438579125432,23.85,12.7943263179639,0.070286846789442
"UP049GDN123R_CtrA5",29.31,16.1581146847018,0.264216016628524,25.21,15.7053600099637,0.0674619444651669
"UP049GDN123R_CtrA6",23.51,16.1083289309871,0.290823082223936,22.36,17.8869044507422,0.0534016069216252
"UP049RDN205G_CtrA0",31.78,5.7864363593828,0.0360029419256494,31.53,19.1388485059952,-0.00438733922402216
"UP082RDN123G_CtrA5",33.76,18.2033511793329,0.0854188612007909,16.81,21.3946987111625,0.0234722835644478
"UP082RDN123G_CtrA6",36.56,17.4079450218896,0.0739401648371828,21.79,15.0519883859583,0.00485766159435724
"UP123GDN180R_CtrA5",11.66,7.76983528832353,0.0131019333700368,22.32,14.7705218319044,0.0232223228184894
"UP123GDN180R_CtrA6",12.34,6.64207126933477,0.0146766052533876,28.1,13.3045972990943,0.0197324858770751
"UP180R_CtrA5",24.08,13.6807787563699,0.0114052115370528,NA,NA,NA
"UP180RDN205G_CtrA0",30.34,17.5606169478755,0.0103638337672437,32.55,9.58720299519803,0.0167502437976618
